reviewerid,asin
A3KROYMQ61M7A,0005004101
A1FDW1SPYKB354,0005019222
A2JP0URFHXP6DO,0005019281
A2E1EFNIZL2FVA,000510372X
AQ8DU6XVA3USJ,0005119367
AQBRMBQ99ESI7,0005119367
A2AOZQ3WTNVVOK,030714142X
A6GMEO3VRY51S,0307141985
A2JP0URFHXP6DO,0307141985
A3CWH6VKCTJAD,0307142469
A2B7BUH8834Y6M,0307142469
A6GMEO3VRY51S,0307142477
A34PAZQ73SL163,0307142485
A3CWH6VKCTJAD,0307142485
A26HFSVLAGULIM,0307142485
A14OJS0VWMOSWO,0307142485
A2B7BUH8834Y6M,0307142485
A34PAZQ73SL163,0307142493
A3CWH6VKCTJAD,0307142493
A2NJO6YE954DBH,0307142493
A6GMEO3VRY51S,0307142493
A18SDN3HYFVH2L,0307142493
A1OBPHRXHZF8P6,0307142493
A2B7BUH8834Y6M,0307142493
A6GMEO3VRY51S,0307142701
A2UQIIJ2CD8REE,0307143619
A6GMEO3VRY51S,0307143619
A1GHUN5HXMHZ89,0307514161
AY69ZK7G6CNYJ,0307514161
A2FTHCGH06O4Y5,0307514161
A1FDW1SPYKB354,0307514161
A4PPZNQF1X2IY,0307514161
A140XH16IKR4B0,0307514161
A2NJO6YE954DBH,0307514161
A2W00XKTTF1G0Z,0307514161
A9Q28YTLYREO7,0307514161
A18RQ2URRGIIEA,0307514161
A1OBPHRXHZF8P6,0307514161
A2TOU0N8XE68W4,0307514161
A2B8GXSCB1R05T,0307514161
AYPCUQS6ARWFH,0307554023
A3EE0H0NWQ9QVL,0310263662
A32JKNQ6BABMQ2,0310263662
A2PV6GK1HV54Y9,0310263662
A1GSR7RGCG1QYZ,0310263662
AQ8DU6XVA3USJ,0310263662
A1R602SXNGOMJ4,0310263662
A1EI65WJC85U68,0310263662
A2582KMXLK2P06,0310263662
A34PAZQ73SL163,0310263662
A141HP4LYPWMSR,0310263662
AY69ZK7G6CNYJ,0310263662
A3VIOCJZ22JZXT,0310263662
A1AISPOIIHTHXX,0310263662
A39CX0EE4BZCZC,0310263662
AUHG8KSHI529U,0310263662
A1YQ6QB2127AJ4,0310263662
A1JH5J1KQAUBMP,0310263662
A2B73CL3QSYWLB,0310263662
A20DZX38KRBIT8,0310263662
A2FEJIORC1MBG3,0310263662
A11PTCZ2FM2547,0310263662
A1D2C0WDCSHUWZ,0310263662
A2C7BOQVFH1HLE,0310263662
A1RP6YCOS5VJ5I,0310263662
ACIBQ6BQ6AWEV,0310263662
A328S9RN3U5M68,0310263662
A18MBO1U4DPY20,0310263662
A457S8SW690NM,0310263662
A16CZRQL23NOIW,0310263662
A3UDYY6L2NH3JS,0310263662
AQ01Q3070LT29,0310263662
A3KY68OTSNHM3G,0310263662
A3C6CZC2JP67VK,0310263662
A2A6NH6DPE0VXR,0310263662
A2FEGRJQNU51P9,0310263662
A2MFNDNS1L7D16,0310263662
A2TAPSNKK9AFSQ,0310263662
A1P2NBM3P3TS2X,0310263662
A1NI0VOVXZBM7Y,0310263662
A15YPJLKLZS0MK,0310263662
AIFXFHO2N9WJB,0310263662
A1IOJE0W1NXOSE,0310263662
A6ADO7B6FUVN,0310263662
A2RKI7RPP5CJMG,0310263662
A2GPEV42IO41CI,0310263662
A3LZBOBV9H1HDV,0310263662
A2NJO6YE954DBH,0310263662
A17FLA8HQOFVIG,0310263662
A3V6Z4RCDGRC44,0310263662
A2T7TZBOTP68C7,0310263662
A1MJMYLRTZ76ZX,0310263662
